"year","scenario","variable","iter","value"
2023,"F.low","fbar","2",0.0464650661898924
2024,"F.low","fbar","2",0.0243193669830969
2025,"F.low","fbar","2",0.0159665492232176
1975,"F.low","fbar","3",0.228696271361007
1976,"F.low","fbar","3",0.230663821999769
1977,"F.low","fbar","3",0.242861815285965
1978,"F.low","fbar","3",0.264996963134902
1979,"F.low","fbar","3",0.266477550003932
1980,"F.low","fbar","3",0.265427437743303
1981,"F.low","fbar","3",0.256004851277285
1982,"F.low","fbar","3",0.251903915796291
1983,"F.low","fbar","3",0.252695088614578
1984,"F.low","fbar","3",0.282958360735251
1985,"F.low","fbar","3",0.312285846615917
1986,"F.low","fbar","3",0.27090767145185
1987,"F.low","fbar","3",0.24694287012104
1988,"F.low","fbar","3",0.284774861375219
1989,"F.low","fbar","3",0.309700518998159
1990,"F.low","fbar","3",0.346326526646606
1991,"F.low","fbar","3",0.363311654421049
1992,"F.low","fbar","3",0.364953599414768
1993,"F.low","fbar","3",0.343669768664262
1994,"F.low","fbar","3",0.387220277611633
1995,"F.low","fbar","3",0.439672541003444
1996,"F.low","fbar","3",0.4825822701311
1997,"F.low","fbar","3",0.542221770488269
1998,"F.low","fbar","3",0.542299751566162
1999,"F.low","fbar","3",0.575204119229471
2000,"F.low","fbar","3",0.614292208877368
2001,"F.low","fbar","3",0.636209258025617
2002,"F.low","fbar","3",0.642369845416402
2003,"F.low","fbar","3",0.679996708691463
2004,"F.low","fbar","3",0.648514978047566
2005,"F.low","fbar","3",0.631900973073159
2006,"F.low","fbar","3",0.689450238941813
2007,"F.low","fbar","3",0.872913607537343
2008,"F.low","fbar","3",0.916946969713921
2009,"F.low","fbar","3",1.02201612798291
2010,"F.low","fbar","3",1.19129021061189
2011,"F.low","fbar","3",1.31510469750629
2012,"F.low","fbar","3",1.16629635865549
2013,"F.low","fbar","3",1.09377335611818
2014,"F.low","fbar","3",1.21945786001209
2015,"F.low","fbar","3",1.43809099523172
2016,"F.low","fbar","3",1.55090821283285
2017,"F.low","fbar","3",2
2018,"F.low","fbar","3",0.0699269062370986
2019,"F.low","fbar","3",0.0400623680315641
2020,"F.low","fbar","3",0.0215742427380796
2021,"F.low","fbar","3",0.0389755391110096
2022,"F.low","fbar","3",0.0308698703970696
2023,"F.low","fbar","3",0.0209943316661638
2024,"F.low","fbar","3",0.0144083970135299
2025,"F.low","fbar","3",0.012204529281689
1975,"F.low","fbar","4",0.192280875898031
1976,"F.low","fbar","4",0.203854798222767
1977,"F.low","fbar","4",0.197754200632619
1978,"F.low","fbar","4",0.201770495352645
1979,"F.low","fbar","4",0.216275437502444
1980,"F.low","fbar","4",0.231051027141586
1981,"F.low","fbar","4",0.221544867952017
