"year","scenario","variable","iter","value"
1988,"Bpa.Fmsy2020","ssb","1",467986.977148513
1989,"Bpa.Fmsy2020","ssb","1",479113.472733382
1990,"Bpa.Fmsy2020","ssb","1",463272.423860786
1991,"Bpa.Fmsy2020","ssb","1",433629.774389273
1992,"Bpa.Fmsy2020","ssb","1",401249.861141677
1993,"Bpa.Fmsy2020","ssb","1",406264.759915454
1994,"Bpa.Fmsy2020","ssb","1",364955.907083311
1995,"Bpa.Fmsy2020","ssb","1",314294.418206309
1996,"Bpa.Fmsy2020","ssb","1",277006.388689437
1997,"Bpa.Fmsy2020","ssb","1",244460.186221508
1998,"Bpa.Fmsy2020","ssb","1",189428.113041493
1999,"Bpa.Fmsy2020","ssb","1",169428.788711698
2000,"Bpa.Fmsy2020","ssb","1",132718.703145253
2001,"Bpa.Fmsy2020","ssb","1",124340.628734586
2002,"Bpa.Fmsy2020","ssb","1",131993.276298936
2003,"Bpa.Fmsy2020","ssb","1",136316.603616205
2004,"Bpa.Fmsy2020","ssb","1",143604.118826699
2005,"Bpa.Fmsy2020","ssb","1",130039.500105922
2006,"Bpa.Fmsy2020","ssb","1",140873.824435155
2007,"Bpa.Fmsy2020","ssb","1",141976.733833611
2008,"Bpa.Fmsy2020","ssb","1",154671.761922566
2009,"Bpa.Fmsy2020","ssb","1",151643.973113862
2010,"Bpa.Fmsy2020","ssb","1",151142.635191859
2011,"Bpa.Fmsy2020","ssb","1",159812.013845189
2012,"Bpa.Fmsy2020","ssb","1",160682.989524527
2013,"Bpa.Fmsy2020","ssb","1",183115.108100867
2014,"Bpa.Fmsy2020","ssb","1",197031.666687261
2015,"Bpa.Fmsy2020","ssb","1",169508.015763758
2016,"Bpa.Fmsy2020","ssb","1",151123.750142573
2017,"Bpa.Fmsy2020","ssb","1",148326.909578043
2018,"Bpa.Fmsy2020","ssb","1",132061.173111795
2019,"Bpa.Fmsy2020","ssb","1",53765.5265576235
2020,"Bpa.Fmsy2020","ssb","1",29887.3976183348
2021,"Bpa.Fmsy2020","ssb","1",26810.1028162564
2022,"Bpa.Fmsy2020","ssb","1",24465.6994314779
2023,"Bpa.Fmsy2020","ssb","1",35474.4924792794
2024,"Bpa.Fmsy2020","ssb","1",49093.5734952445
2025,"Bpa.Fmsy2020","ssb","1",66776.1931080919
2026,"Bpa.Fmsy2020","ssb","1",86496.0844070689
2027,"Bpa.Fmsy2020","ssb","1",108738.663842554
1975,"Bpa.Fmsy2020","ssb","2",551692.255006571
1976,"Bpa.Fmsy2020","ssb","2",594526.775309433
1977,"Bpa.Fmsy2020","ssb","2",615388.633969794
1978,"Bpa.Fmsy2020","ssb","2",568089.602360176
1979,"Bpa.Fmsy2020","ssb","2",577080.831237266
1980,"Bpa.Fmsy2020","ssb","2",614190.67160094
1981,"Bpa.Fmsy2020","ssb","2",722239.8308459
1982,"Bpa.Fmsy2020","ssb","2",710410.71931578
1983,"Bpa.Fmsy2020","ssb","2",697904.839471375
1984,"Bpa.Fmsy2020","ssb","2",684026.29034504
1985,"Bpa.Fmsy2020","ssb","2",577676.604519806
1986,"Bpa.Fmsy2020","ssb","2",517379.642922852
1987,"Bpa.Fmsy2020","ssb","2",465291.279310765
1988,"Bpa.Fmsy2020","ssb","2",468733.891781683
1989,"Bpa.Fmsy2020","ssb","2",479917.656331118
1990,"Bpa.Fmsy2020","ssb","2",463722.353455454
1991,"Bpa.Fmsy2020","ssb","2",433041.017010117
1992,"Bpa.Fmsy2020","ssb","2",400228.196560331
1993,"Bpa.Fmsy2020","ssb","2",405689.107627243
1994,"Bpa.Fmsy2020","ssb","2",364061.299453535
1995,"Bpa.Fmsy2020","ssb","2",313232.877565385
1996,"Bpa.Fmsy2020","ssb","2",276703.517441958
1997,"Bpa.Fmsy2020","ssb","2",244587.213136585
1998,"Bpa.Fmsy2020","ssb","2",189858.402005901
